Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Hawaiian Trade Zone,0.09468,0.10902,0.10042,0.09487,0.11496,0.1103,0.06534,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,0.2724,0.28356,0.31099,0.34283,0.35351,0.37015,0.39209,0.44013,0.49405,0.51427,0.50653,0.49495,0.55623,0.56629,0.59318,0.62864,0.68003,0.69036,0.72987,0.86455,0.80565,0.85755,0.92558,0.95826,1.06668,1.11507,1.10248,1.13666,1.07983
India,4.04087,4.62703,4.73881,4.99261,5.65399,5.91415,6.35848,6.44899,7.04691,7.46151,7.87914,8.37385,8.85032,8.74128,9.95524,11.44262,11.04174,11.63701,12.16625,12.98828,13.4619,13.93706,13.75309,14.22798,15.38307,16.36261,17.66375,18.84763,19.95423
Indonesia,1.16582,1.27211,1.30655,1.38716,1.46319,1.53927,1.65944,1.73052,1.85779,2.10278,2.31959,2.54464,2.64862,2.78552,3.11637,3.26334,3.55371,3.65505,3.55545,3.91331,3.92117,3.96036,4.18007,4.25094,4.43065,4.71101,5.21636,5.63498,5.82233
Japan,15.20992,15.13041,14.58474,14.30772,16.30672,16.22482,15.71465,16.75161,17.9545,18.53826,19.57318,20.12051,20.14375,20.16066,21.1479,21.62347,21.98607,22.41235,21.89014,22.37176,22.7982,22.45539,22.35506,22.4407,23.03985,22.93593,23.16837,22.93142,22.29731
Kiribati,0.00034,0.0004,0.0004,0.0004,0.00029,0.00029,0.00026,0.00031,0.00031,0.00031,0.00031,0.00037,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00035,0.00035,0.00045,0.00045,0.00045,0.00054,0.00054,0.00057,0.00061
"Korea, North",1.32754,1.37409,1.43933,1.50349,1.54723,1.62406,1.61938,1.56274,1.9215,1.57464,1.53212,1.49528,1.31677,1.21589,1.14549,1.06627,0.91771,0.83831,0.75979,0.82353,0.85941,0.88168,0.85064,0.87877,0.89887,0.93287,0.93706,0.80374,0.88497
"Korea, South",1.75836,1.82226,1.83276,2.01014,2.13481,2.30592,2.5749,2.81632,3.12305,3.39632,3.8413,4.3433,4.83041,5.39183,5.83617,6.3617,6.74547,7.33051,6.90581,7.47454,7.83936,8.09976,8.4012,8.65312,8.91069,9.22774,9.34094,9.70718,9.88633
Laos,0.01311,0.01129,0.01159,0.01078,0.00965,0.00939,0.00969,0.0077,0.00724,0.00908,0.01017,0.01069,0.01087,0.01009,0.01107,0.01307,0.01686,0.01887,0.02302,0.02674,0.03306,0.03529,0.03448,0.03276,0.03447,0.03655,0.03739,0.03887,0.04248
Macau,0.00698,0.00655,0.00699,0.00985,0.01087,0.00893,0.01241,0.01384,0.01374,0.01474,0.01513,0.0152,0.0157,0.01616,0.01852,0.01879,0.0209,0.0214,0.02302,0.02444,0.02211,0.02369,0.02586,0.02686,0.03248,0.02857,0.03522,0.03774,0.04118
Malaysia,0.41839,0.43884,0.45554,0.51398,0.61396,0.69926,0.74984,0.75377,0.79964,0.86664,0.97969,1.0869,1.13703,1.16581,1.42724,1.4696,1.64099,1.67018,1.68849,1.74301,1.97671,2.09383,2.17532,2.26786,2.26065,2.28944,2.36515,2.32461,2.45249
Maldives,0.00021,0.00021,0.00021,0.00021,0.00083,0.0009,0.00114,0.00114,0.00123,0.00123,0.00136,0.00136,0.00141,0.00171,0.00342,0.00483,0.0049,0.00433,0.00468,0.00468,0.00663,0.00713,0.01307,0.0147,0.01027,0.00823,0.01136,0.01279,0.01218
Mongolia,0.08316,0.07573,0.09037,0.09304,0.0942,0.10401,0.11106,0.11697,0.12118,0.11557,0.10901,0.12917,0.11171,0.10039,0.0948,0.10003,0.07572,0.06211,0.06221,0.06154,0.06313,0.06517,0.06955,0.06625,0.07023,0.07356,0.08595,0.0877,0.08869
Nauru,0.0019,0.00192,0.00192,0.00192,0.00198,0.00197,0.00197,0.00197,0.00196,0.00197,0.00205,0.00205,0.00209,0.00209,0.0021,0.00214,0.00213,0.00214,0.00214,0.00214,0.00213,0.00214,0.00223,0.00223,0.00226,0.00231,0.00226,0.0023,0.00242
Nepal,0.00827,0.0076,0.00974,0.01093,0.01271,0.01102,0.01392,0.0165,0.01656,0.01667,0.01795,0.02188,0.02353,0.02274,0.02706,0.03035,0.03421,0.03694,0.04958,0.05684,0.05805,0.06212,0.0586,0.06154,0.06292,0.07002,0.07072,0.0736,0.07608
New Caledonia,0.02755,0.02651,0.02087,0.01782,0.02156,0.02264,0.02233,0.02183,0.02386,0.02615,0.02489,0.02548,0.02623,0.02572,0.02599,0.02644,0.02726,0.02531,0.02594,0.02647,0.02967,0.02913,0.03219,0.03319,0.03537,0.03493,0.0404,0.04224,0.0429
New Zealand,0.51056,0.50508,0.51546,0.54088,0.57656,0.5873,0.63597,0.64093,0.6876,0.69361,0.72851,0.73255,0.73883,0.74814,0.78855,0.80174,0.80557,0.81469,0.79086,0.8288,0.84839,0.85559,0.88671,0.86982,0.89464,0.87592,0.88209,0.88185,0.88213
Niue,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00006,0.00007,0.00007,0.00007
Pakistan,0.63141,0.68508,0.78194,0.79211,0.81937,0.87242,0.93272,1.00649,1.07839,1.13443,1.17658,1.24869,1.30998,1.35773,1.5331,1.58131,1.66887,1.69189,1.73805,1.81396,1.8557,1.80958,1.82418,1.92133,1.98889,2.16307,2.3983,2.4963,2.48147
Papua New Guinea,0.02903,0.02892,0.02886,0.02972,0.0335,0.03514,0.03586,0.03907,0.0368,0.03777,0.03829,0.03802,0.03996,0.04005,0.03886,0.04525,0.04704,0.04448,0.04474,0.04526,0.04557,0.04578,0.06074,0.0688,0.06803,0.06662,0.06947,0.06927,0.07264
Philippines,0.57538,0.56583,0.57883,0.56552,0.54965,0.5367,0.5392,0.59789,0.64003,0.71321,0.73076,0.73139,0.77224,0.79388,0.90317,0.96322,1.02296,1.08665,1.12926,1.21508,1.2531,1.22579,1.24965,1.27618,1.31552,1.31367,1.31008,1.30024,1.293
Samoa,0.00145,0.00154,0.00171,0.00171,0.00222,0.00181,0.00184,0.00182,0.00182,0.00193,0.00202,0.00202,0.00211,0.00211,0.00202,0.00217,0.0022,0.00224,0.00229,0.00234,0.00234,0.00248,0.0027,0.00263,0.00265,0.00279,0.00275,0.0028,0.00292
Singapore,0.44171,0.46278,0.49037,0.48736,0.51378,0.49804,0.57213,0.63386,0.67652,0.7329,0.80261,0.85451,0.96949,0.96169,1.16758,1.1852,1.35168,1.45078,1.49949,1.48526,1.52164,1.61104,1.5925,1.68206,1.89334,2.03386,2.08017,2.22419,2.37597
Solomon Islands,0.00147,0.00208,0.00189,0.00209,0.0021,0.00183,0.00184,0.00212,0.00233,0.00242,0.00247,0.00247,0.00242,0.00223,0.00234,0.00242,0.00242,0.00242,0.00242,0.00242,0.0025,0.00251,0.0026,0.0026,0.00267,0.00294,0.00273,0.00303,0.00327
Sri Lanka,0.0883,0.08934,0.09251,0.09056,0.10712,0.09586,0.09848,0.10326,0.09914,0.09549,0.10563,0.10529,0.10714,0.11889,0.13631,0.14655,0.14603,0.16136,0.16774,0.17986,0.18929,0.18637,0.18861,0.20064,0.19912,0.21938,0.21632,0.22221,0.2153
Taiwan,1.11685,1.07033,1.0703,1.22045,1.41214,1.45643,1.55603,1.66344,1.79761,1.91653,2.02369,2.07695,2.18823,2.11548,2.57347,2.82712,3.02418,3.17368,3.36497,3.54479,3.8074,3.85485,4.08254,4.25666,4.4001,4.43559,4.56666,4.61249,4.5604
Thailand,0.50786,0.54449,0.53202,0.56767,0.6305,0.70186,0.7224,0.79284,0.90767,1.07364,1.25449,1.37083,1.4671,1.57659,1.8698,2.11625,2.44144,2.59714,2.44083,2.50308,2.58148,2.7009,2.94377,3.22211,3.45517,3.66706,3.72069,3.86424,3.95827
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0023,0.0025,0.00249,0.00254,0.00462,0.00482
Tonga,0.00043,0.00064,0.00059,0.00064,0.00064,0.00066,0.00066,0.00097,0.00115,0.00125,0.00125,0.00142,0.00141,0.00141,0.00165,0.00165,0.00183,0.00188,0.00183,0.00183,0.00187,0.00178,0.00159,0.00159,0.00171,0.00208,0.00246,0.00252,0.00272
U.S. Pacific Islands,0.00219,0.00218,0.00218,0.00218,0.00206,0.00202,0.00217,0.00217,0.00286,0.00425,0.00438,0.00438,0.00441,0.00423,0.00434,0.00447,0.00454,0.00446,0.00446,0.00441,0.0044,0.00442,0.00434,0.00434,0.00431,0.00432,0.00442,0.0045,0.0043
Vanuatu,0.00172,0.0015,0.00151,0.00147,0.00154,0.00167,0.00167,0.0016,0.00189,0.00168,0.00177,0.00139,0.00092,0.00087,0.00092,0.00092,0.00092,0.00092,0.00092,0.00092,0.00118,0.00118,0.00127,0.00127,0.00131,0.0014,0.00136,0.00158,0.00166
Vietnam,0.17136,0.16951,0.18354,0.18621,0.19248,0.21448,0.1915,0.22003,0.20047,0.24265,0.26463,0.28084,0.29175,0.33307,0.367,0.47714,0.56711,0.58366,0.61132,0.68331,0.73608,0.81314,0.90187,0.97817,1.12659,1.19901,1.29703,1.38852,1.60524
Wake Island,0.01857,0.01852,0.01852,0.01852,0.01874,0.01838,0.01843,0.01843,0.01824,0.01829,0.01784,0.01784,0.01806,0.01625,0.01823,0.01841,0.01845,0.01861,0.01861,0.01861,0.0187,0.01875,0.01907,0.01907,0.01896,0.01888,0.01937,0.01986,0.01945
